neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
3,87,2,99,2,8,13
2,29,2,50,1,2,365
3,202,1,180,5,1,77
3,120,2,69,2,36,5
2,14,2,50,1,13,264
2,215,2,75,4,1,47
2,215,2,75,2,5,72
4,55,2,70,5,0,30
4,23,1,55,1,11,40
2,215,1,170,2,12,308
2,109,1,90,3,6,30
2,14,2,49,2,9,312
2,14,1,110,4,1,129
2,14,1,120,3,9,298
3,146,2,100,3,2,55
2,215,2,75,3,0,7
3,210,1,250,3,3,16
2,14,1,247,2,6,346
1,201,2,43,3,36,365
3,128,1,199,2,3,67
2,42,2,41,1,1,52
2,14,1,250,5,13,194
2,75,1,102,2,0,36
2,159,2,80,3,4,88
3,202,2,150,5,6,280
2,32,1,78,1,28,223
3,74,1,214,2,11,312
4,182,1,150,3,3,327
3,95,2,55,1,14,359
2,160,2,52,1,26,332
2,81,1,140,2,8,14
3,74,1,225,1,22,323
1,33,2,38,3,0,177
2,14,2,57,2,17,146
1,67,2,80,1,0,365
2,129,2,100,1,0,330
4,51,3,25,2,15,330
2,29,2,70,4,1,342
3,96,2,120,1,1,198
2,42,1,150,3,5,159
2,183,2,60,5,10,23
2,24,2,57,1,1,4
3,128,1,244,4,9,56
3,207,2,40,2,1,51
2,29,2,55,2,18,188
3,95,1,150,4,4,33
2,31,2,70,3,2,86
4,106,3,51,1,17,141
3,203,2,250,6,1,55
3,95,2,52,5,7,11
4,190,2,48,2,33,113
1,1,1,75,1,7,1
2,52,2,175,5,0,359
3,210,1,250,2,5,48
4,221,2,90,1,0,179
3,113,1,100,4,25,4
4,84,1,90,1,26,358
3,202,2,65,1,17,19
2,42,1,135,3,28,211
4,186,2,55,1,0,8
2,215,1,100,5,1,11
3,35,1,250,2,28,328
5,91,2,50,2,4,84
2,14,3,28,1,5,89
2,109,1,130,1,2,95
4,69,2,80,1,34,49
3,65,2,109,5,25,2
2,152,1,135,2,33,9
2,81,1,150,5,12,26
3,199,1,109,1,9,6
3,65,1,250,4,34,239
2,160,1,189,3,1,83
2,86,1,180,6,1,26
3,65,2,59,4,12,12
3,202,2,99,6,35,59
3,96,3,59,1,10,358
4,118,1,69,2,0,5
3,203,1,175,1,1,195
3,128,1,227,3,16,321
4,51,3,29,1,1,343
4,12,2,39,1,16,142
2,14,1,150,5,4,160
4,60,2,40,2,8,10
3,207,2,41,1,0,38
3,95,1,125,4,0,158
4,186,1,250,3,4,348
3,96,2,209,2,11,73
2,129,2,120,1,2,330
3,95,1,85,4,0,3
3,198,2,100,1,18,31
4,22,2,195,1,4,160
3,203,2,120,1,19,360
3,95,2,90,1,1,40
4,78,2,70,1,2,365
3,95,1,199,3,17,280
2,61,1,200,3,0,206
4,5,2,90,1,2,90
2,92,1,175,2,2,103
2,160,1,200,1,2,220
3,62,2,50,1,0,81
2,215,2,49,3,13,181
2,14,1,79,3,2,157
2,14,2,72,2,6,316
2,14,2,45,3,11,66
3,203,1,180,5,7,10
3,207,1,89,2,25,346
4,78,2,55,1,3,75
2,29,2,50,2,26,80
2,14,1,130,2,35,34
4,78,2,68,3,0,362
3,95,2,50,1,7,267
3,96,1,200,6,24,188
3,128,2,100,1,20,7
2,215,1,160,3,27,193
3,210,2,160,3,1,52
3,202,2,111,1,10,62
2,159,1,165,2,21,146
4,78,2,60,1,3,84
3,96,2,110,3,35,53
2,29,2,70,2,10,14
2,152,1,200,3,17,142
2,61,2,55,1,0,178
2,14,1,110,4,13,161
2,52,2,29,5,3,206
3,87,1,126,2,25,30
2,14,2,46,1,12,155
2,176,2,50,2,13,71
2,29,1,125,1,19,281
3,202,2,150,5,7,293
1,134,2,60,5,4,175
5,47,1,100,1,25,72
3,179,2,200,1,16,365
5,162,1,135,2,21,354
2,86,1,130,5,36,224
3,198,2,197,5,3,95
2,29,2,65,2,17,30
2,14,1,118,2,3,101
2,81,1,178,3,11,32
5,187,1,175,3,22,39
3,95,2,65,2,1,156
3,203,1,140,5,3,89
2,215,1,175,2,0,24
2,160,1,135,3,0,9
2,205,1,240,1,1,89
4,105,2,45,2,7,64
4,169,1,139,1,1,171
2,183,1,195,4,22,67
3,95,2,85,2,1,77
3,207,1,100,5,11,22
4,30,2,80,5,23,83
2,215,2,60,2,30,43
3,202,2,105,1,3,90
3,95,1,200,1,4,139
4,221,2,35,2,21,16
4,190,2,60,2,6,180
2,86,1,140,4,14,8
3,113,1,132,1,2,46
3,96,2,179,2,34,84
3,65,2,100,1,17,73
3,207,2,90,2,24,119
3,87,1,155,3,18,70
2,27,2,49,2,6,191
2,215,2,70,1,10,281
4,60,1,80,1,8,49
2,215,1,170,2,4,1
2,29,2,80,2,30,361
3,93,2,43,5,3,5
1,214,2,40,1,0,89
3,96,1,125,3,2,219
3,128,1,180,1,2,254
3,113,3,39,2,0,348
4,15,2,110,2,1,325
3,62,2,80,3,2,242
3,95,2,149,3,16,333
1,112,2,85,3,0,89
4,118,2,55,1,2,293
2,14,1,250,1,11,365
2,215,1,149,2,20,263
2,14,1,130,3,10,89
3,62,2,79,1,9,365
2,160,2,110,4,12,330
2,92,1,189,3,26,69
5,3,1,60,1,25,12
2,58,2,100,1,26,131
3,96,2,65,1,4,153
4,106,2,80,1,5,54
3,192,2,130,2,10,24
2,29,2,65,2,21,321
3,207,2,70,1,23,138
3,74,1,214,2,2,331
3,120,1,275,3,20,359
3,203,1,150,4,2,7
2,183,1,179,2,9,152
1,193,2,74,3,23,58
2,52,1,215,2,14,13
3,65,1,250,4,17,5
4,190,3,30,3,1,345
4,69,1,188,2,35,140
2,29,2,38,1,5,7
2,14,2,150,3,2,364
3,95,1,125,2,12,7
2,29,2,75,4,0,6
4,30,1,160,2,5,151
4,78,1,85,1,5,145
2,159,2,80,2,28,82
2,160,2,55,1,24,45
3,95,2,125,1,4,365
2,14,2,85,2,9,319
1,48,2,200,1,0,179
2,215,2,44,2,0,6
2,8,1,90,3,19,52
2,61,1,135,4,9,365
2,160,2,100,3,14,364
2,32,1,170,2,2,64
2,75,1,200,4,17,95
3,95,2,80,2,13,238
2,64,2,79,2,1,90
3,65,1,200,2,20,53
3,96,1,209,1,4,177
2,215,1,90,1,1,76
4,55,2,115,1,2,304
3,95,1,126,4,34,90
3,202,1,127,5,4,192
3,210,1,225,3,13,83
4,151,1,100,2,0,149
3,95,2,45,4,7,32
3,62,2,75,1,20,128
3,95,1,199,2,5,61
2,109,2,149,1,9,365
3,128,2,99,2,21,3
4,105,2,59,1,24,5
2,61,2,59,2,22,107
3,36,2,80,1,2,172
2,215,1,150,5,0,49
2,14,1,110,3,0,18
2,215,2,79,2,17,1
3,74,1,227,2,3,350
2,29,2,130,1,0,83
2,32,1,157,6,1,24
4,85,2,50,1,0,177
3,95,2,39,4,33,292
4,5,2,80,3,35,154
2,160,1,150,3,1,363
2,29,2,69,1,1,103
3,128,1,140,3,28,333
4,167,2,65,3,3,342
3,95,2,60,3,35,5
2,64,2,75,2,0,88
2,75,2,70,1,0,311
2,52,1,109,2,22,1
3,95,2,78,1,4,55
3,146,1,249,3,0,85
4,190,2,65,2,12,332
2,52,1,135,3,24,246
2,52,1,185,2,6,2
4,16,2,60,2,27,353
4,111,2,40,6,3,89
3,128,1,260,1,14,139
2,14,2,85,2,34,336
2,215,2,84,5,0,60
3,93,1,220,4,1,16
4,60,2,150,2,0,83
4,164,2,55,1,0,95
3,95,2,80,3,0,187
2,152,1,165,3,33,305
3,95,2,125,1,2,139
5,94,1,125,2,1,44
2,52,1,140,2,7,7
2,61,1,150,5,0,365
2,215,1,168,2,4,154
1,155,2,40,2,17,17
2,163,2,65,1,13,160
3,62,2,215,1,0,30
2,215,1,245,5,32,305
2,52,2,85,2,0,363
2,14,2,55,2,20,332
4,184,2,75,1,0,180
2,92,2,45,4,7,88
2,92,2,52,5,35,1
3,93,2,150,2,0,48
2,160,2,70,2,32,358
3,96,3,85,1,6,175
2,14,2,60,1,0,20
3,95,1,150,2,15,9
2,14,1,100,3,5,4
2,61,2,50,2,16,43
2,92,1,125,5,5,68
3,35,1,240,3,2,35
2,52,1,225,1,27,339
3,96,1,225,2,0,270
3,120,1,199,1,14,158
2,215,2,60,1,8,31
3,122,2,65,2,5,112
2,29,2,101,1,28,13
4,78,2,98,1,26,215
2,52,2,99,1,10,47
4,124,2,65,2,1,21
4,105,2,39,2,22,58
3,65,1,88,2,18,5
2,176,2,37,1,1,364
3,95,2,48,1,1,128
4,55,2,60,1,3,363
2,42,2,69,3,6,174
2,14,1,150,2,8,84
2,29,1,130,5,14,305
2,215,2,95,2,15,3
3,74,2,145,1,0,83
3,35,2,100,1,17,324
4,78,2,57,2,17,308
2,109,1,125,2,1,74
3,35,2,165,2,5,93
3,207,2,66,1,5,130
3,62,1,250,4,13,35
2,14,2,45,1,0,7
2,52,1,105,3,8,188
2,52,2,100,1,8,8
3,203,1,275,2,8,24
3,113,2,100,1,1,6
4,16,2,105,3,7,343
3,95,2,150,5,0,269
2,61,2,35,1,31,66
4,23,2,135,1,0,355
3,202,2,154,4,5,27
1,156,3,28,1,18,60
2,92,1,140,4,18,30
2,29,2,80,2,12,67
3,95,1,115,3,15,116
2,14,2,81,2,0,150
3,120,2,175,1,35,19
4,69,2,60,2,0,66
3,170,2,100,2,2,43
2,92,2,105,4,0,8
1,200,2,60,1,0,268
2,215,1,120,4,9,291
2,191,2,60,2,34,181
1,1,2,80,3,4,155
2,191,2,75,1,13,68
2,14,2,65,2,18,343
2,42,2,64,5,1,90
4,106,2,60,2,2,180
4,186,2,45,2,15,262
4,169,1,275,2,29,138
2,14,2,80,2,28,160
2,29,1,80,2,21,154
2,92,1,103,3,3,11
2,29,2,34,3,7,71
3,74,1,155,3,0,107
3,87,1,110,3,33,15
3,104,2,50,3,0,96
3,35,1,185,2,32,47
2,29,2,65,1,1,88
3,95,1,99,5,35,1
2,8,1,119,1,32,276
2,215,2,85,2,7,207
4,69,2,149,2,5,340
2,46,1,275,2,18,292
4,124,2,65,2,4,254
2,29,2,199,4,2,179
3,207,1,120,3,32,3
2,52,1,165,2,11,269
2,215,2,120,2,14,18
2,29,2,45,1,0,1
2,215,1,250,2,24,282
3,131,1,120,3,6,8
2,160,1,150,3,26,26
2,31,2,55,2,32,76
4,167,2,60,4,2,51
2,191,2,57,2,16,222
3,95,2,110,2,20,5
4,105,1,153,4,0,135
3,120,2,125,2,33,191
3,74,1,194,2,8,341
3,210,1,160,3,3,2
2,29,1,115,2,9,1
4,80,1,97,3,28,209
4,4,1,150,2,20,76
2,29,2,60,2,0,20
3,95,2,58,5,2,314
3,65,1,185,2,7,14
2,29,2,90,1,8,295
2,42,1,160,4,6,15
3,65,1,120,1,5,191
3,120,1,170,2,1,8
2,24,2,80,3,1,178
2,160,1,130,3,36,132
2,29,1,100,2,12,17
3,95,2,100,2,11,90
2,159,1,140,3,12,4
3,95,2,43,1,6,90
4,78,2,60,1,26,46
3,96,2,110,1,10,270
2,81,2,90,4,2,88
3,120,1,184,4,11,273
2,52,1,90,3,20,2
2,215,2,70,5,1,7
4,5,2,65,2,5,2
1,153,3,51,3,9,89
3,74,1,234,2,5,343
4,106,2,37,2,34,331
3,192,2,100,1,6,289
2,14,2,79,2,14,79
4,164,1,125,5,6,157
2,215,2,89,1,25,78
3,62,2,55,5,2,6
2,29,2,89,6,1,27
3,203,1,265,2,16,16
2,29,2,51,1,33,19
4,60,2,42,2,25,283
2,215,2,115,1,0,90
3,120,1,180,4,23,233
2,215,2,75,1,0,43
4,165,1,125,2,31,62
3,36,1,146,4,0,36
2,20,1,148,2,23,3
3,96,2,209,1,6,88
3,74,1,205,2,10,338
2,8,1,130,3,1,83
2,215,2,70,3,0,188
2,52,2,65,3,24,9
4,110,1,80,2,1,340
2,14,2,77,2,0,147
2,160,2,50,3,0,92
4,68,1,99,3,5,246
4,105,2,50,2,29,16
3,95,1,160,1,15,9
4,108,1,275,1,11,280
3,96,2,125,2,29,43
2,14,2,72,2,15,365
3,65,1,220,4,9,233
4,169,2,50,1,1,179
5,144,1,68,2,8,4
2,176,2,65,2,11,156
3,96,1,200,4,7,3
3,203,1,249,1,13,29
3,202,2,220,4,1,15
4,165,1,150,3,6,162
3,207,2,40,3,1,245
2,129,2,140,1,0,364
3,128,1,163,1,11,221
3,35,1,180,3,24,14
2,29,2,75,5,9,336
3,138,1,199,3,0,208
2,64,1,175,3,22,285
3,96,2,199,1,24,155
3,120,2,74,3,15,280
4,78,2,59,1,9,362
3,96,1,138,1,20,265
3,96,1,179,3,17,5
2,29,2,48,4,6,6
5,195,2,55,3,3,61
2,52,1,120,3,33,73
2,215,1,110,3,3,12
3,95,2,99,1,0,89
3,62,1,194,1,19,177
4,106,1,90,2,14,354
3,113,2,130,1,11,147
2,14,2,70,1,20,87
4,4,1,95,1,6,35
4,190,3,30,1,30,157
3,113,1,55,4,0,8
3,65,2,125,1,36,81
2,160,2,75,2,7,111
3,192,2,100,1,0,362
3,207,1,120,4,10,4
2,215,2,225,4,1,5
3,146,2,68,1,28,21
2,191,2,95,2,0,137
2,29,2,50,5,1,66
4,4,1,100,1,12,65
2,215,2,67,2,32,348
2,92,2,100,2,3,100
3,192,2,62,1,7,9
3,74,2,119,3,4,26
2,52,2,41,1,7,45
3,62,2,43,1,13,6
3,202,1,200,2,8,3
2,14,2,85,2,15,257
4,78,2,38,5,34,353
4,169,1,129,1,0,172
3,202,1,220,3,20,31
3,93,1,110,5,3,4
3,65,1,175,1,9,31
2,92,1,120,3,8,3
4,221,2,32,2,16,365
2,92,1,80,2,22,5
3,128,2,175,2,2,1
2,14,2,95,3,0,179
3,95,1,159,3,31,358
3,120,1,200,5,0,32
2,21,3,35,1,0,362
2,14,1,99,1,31,345
4,161,2,70,1,4,88
4,106,2,150,1,4,356
4,69,3,65,1,4,179
3,207,2,38,2,23,30
2,215,2,95,2,25,342
3,120,2,125,2,0,296
3,192,2,100,1,0,328
4,167,1,75,1,9,132
3,203,2,250,1,6,365
2,61,2,53,2,2,54
4,167,2,49,2,14,165
4,118,1,200,1,0,5
2,64,2,119,1,6,180
3,74,1,229,2,11,341
4,221,2,49,2,0,177
3,202,1,229,3,3,150
4,151,3,45,1,8,364
2,86,2,119,1,26,363
2,14,2,60,3,3,322
3,202,1,229,1,1,266
2,64,1,75,2,27,151
3,95,2,150,1,1,87
2,152,1,160,2,5,2
2,14,1,120,2,11,6
2,215,1,105,2,1,3
2,29,2,150,3,0,28
2,8,1,100,2,8,46
2,14,1,135,2,5,45
2,152,1,225,3,12,47
3,35,1,200,3,21,42
2,159,2,65,2,7,63
4,124,1,200,4,1,129
4,55,2,125,1,0,363
2,92,1,199,1,1,365
2,61,2,79,3,0,365
2,61,2,40,1,1,151
4,5,1,135,5,18,363
2,159,1,175,2,15,4
3,74,2,150,1,17,362
2,14,2,80,2,3,82
3,210,1,175,2,7,341
3,128,1,198,2,27,246
4,5,2,50,1,7,336
4,221,1,169,1,0,60
3,202,2,96,2,28,31
4,80,2,59,2,6,6
4,78,2,55,1,0,329
2,159,1,195,4,10,95
2,31,2,49,2,8,342
1,156,1,115,4,9,124
2,8,2,80,1,2,344
4,78,2,64,1,7,90
2,29,2,65,5,20,365
2,129,1,85,5,15,105
2,52,2,50,3,16,37
3,128,1,179,2,3,128
4,78,2,80,3,0,358
3,120,2,80,1,6,151
2,29,2,130,1,0,365
2,29,2,50,1,9,179
2,75,2,80,2,0,90
2,52,2,45,2,21,339
2,52,1,88,2,4,31
2,14,1,125,3,16,4
2,92,2,58,3,9,25
5,187,2,68,2,29,57
3,62,1,199,3,3,349
2,52,1,150,5,2,364
2,61,1,45,2,17,248
5,71,2,80,2,2,158
2,14,1,120,5,12,137
1,135,1,115,2,36,114
2,61,2,47,1,9,14
4,55,2,40,2,1,363
3,62,2,80,1,29,193
2,8,2,75,1,7,361
3,65,1,175,2,27,63
2,21,2,56,2,8,365
3,198,1,225,3,0,42
3,199,1,180,3,18,72
2,14,1,190,3,11,179
4,172,2,60,1,14,88
3,74,1,170,1,1,323
4,118,1,200,1,29,148
4,218,2,50,1,6,288
3,203,2,125,1,25,311
3,65,1,199,5,22,68
2,14,1,120,3,22,16
1,156,1,115,2,11,6
2,29,2,50,1,0,165
3,62,2,105,2,5,273
2,14,2,50,1,24,354
3,179,2,100,3,8,361
4,164,1,250,2,1,365
2,14,2,85,3,36,69
2,14,1,101,1,1,167
2,14,2,65,2,14,365
1,156,1,117,4,0,290
2,14,2,64,4,25,18
2,42,2,75,2,6,133
4,69,2,50,1,21,71
3,74,1,247,2,4,314
4,190,1,149,4,2,298
3,96,2,138,1,8,95
2,14,2,49,2,13,294
3,203,2,175,1,8,90
2,20,1,250,6,6,56
3,87,1,275,5,30,20
3,207,2,85,2,24,318
2,81,1,165,2,16,29
2,14,2,105,2,0,17
4,55,2,56,4,0,350
4,4,1,137,1,4,273
3,202,2,120,4,20,31
2,215,2,70,3,19,53
1,11,2,53,3,12,356
1,119,2,70,1,6,89
3,203,1,190,4,1,118
3,95,2,95,2,5,90
1,48,1,100,3,24,187
3,95,2,59,1,1,61
4,165,2,55,1,7,344
2,92,2,120,5,8,179
2,152,1,100,2,2,1
3,207,2,59,1,3,293
2,215,1,245,2,14,65
2,215,1,210,2,35,170
2,215,1,199,4,7,65
1,193,2,60,1,2,180
2,52,1,175,2,4,325
3,120,1,198,3,0,5
4,106,2,60,1,22,177
2,29,1,189,2,1,24
2,75,1,100,4,20,328
1,40,3,45,1,7,365
3,95,1,150,3,25,22
2,52,1,125,2,24,55
2,14,2,80,3,5,65
3,65,2,80,1,10,97
3,179,2,130,3,18,304
2,31,1,169,2,30,345
3,131,2,100,1,17,31
3,65,1,199,4,4,204
3,62,1,150,5,31,24
3,96,1,145,6,10,163
3,95,2,69,2,10,365
2,14,3,21,1,35,78
2,24,3,50,1,1,1
3,202,1,215,2,1,265
2,52,1,99,3,1,1
2,215,3,75,1,2,1
3,128,1,235,2,4,129
4,12,2,70,2,17,351
3,120,1,214,2,15,17
3,95,2,63,3,1,188
2,52,2,45,3,0,320
1,79,1,98,2,30,327
3,95,1,110,4,5,214
3,203,1,158,2,1,8
3,199,2,89,1,13,153
4,118,1,150,3,0,19
2,215,1,161,2,2,288
3,192,1,160,2,1,4
3,202,1,230,4,34,4
3,96,2,174,3,17,65
2,53,2,36,1,8,192
2,92,2,120,4,0,49
2,14,2,75,3,13,298
2,152,1,140,3,1,65
3,207,2,95,3,0,18
3,96,2,249,1,13,81
2,75,1,120,5,3,231
2,29,1,150,2,7,342
3,202,3,100,1,0,360
2,29,2,185,1,14,37
4,5,2,60,2,4,283
2,52,1,90,6,8,8
3,207,1,130,3,25,155
4,167,2,70,2,0,92
2,29,2,149,3,19,363
2,29,2,65,2,3,28
3,65,1,148,4,20,121
5,94,1,175,1,0,350
2,52,2,78,3,10,95
3,65,1,179,5,3,76
1,79,2,42,1,2,332
2,183,2,100,3,6,179
3,113,1,260,3,6,173
3,35,1,155,2,29,8
3,87,2,61,3,21,16
2,29,2,66,2,11,147
3,93,2,96,3,2,5
3,65,1,249,5,24,17
2,64,2,30,3,28,90
2,24,1,99,1,36,350
3,207,2,112,2,20,179
3,62,1,200,5,8,19
2,26,2,110,2,1,189
2,61,1,91,3,4,12
5,123,2,63,1,10,179
2,29,2,70,5,25,64
3,96,2,100,1,1,23
2,217,1,155,1,7,71
4,190,1,119,6,15,1
3,95,2,67,1,27,160
2,31,2,49,2,10,354
2,14,2,50,3,3,333
4,105,2,40,4,22,95
4,5,1,250,3,3,1
3,138,1,245,2,4,137
4,106,1,122,2,3,81
4,167,2,60,1,7,85
2,42,2,175,1,17,179
2,215,2,70,1,2,363
4,126,1,115,4,6,314
2,29,1,99,2,17,300
2,92,2,106,4,21,58
2,215,2,80,1,10,102
3,207,2,50,1,22,24
2,52,1,190,3,26,251
3,96,2,100,1,6,116
3,120,2,80,5,10,348
2,52,2,25,2,5,158
3,74,1,269,5,18,179
2,53,2,75,1,1,82
2,215,2,85,1,0,124
2,215,2,90,1,18,9
3,202,1,188,1,0,179
2,52,1,105,2,7,32
2,64,2,119,1,29,180
3,62,1,130,3,0,38
4,172,2,42,5,2,178
2,21,2,65,3,8,40
1,206,2,50,2,15,337
3,62,2,85,3,3,90
3,62,2,150,2,18,112
3,65,2,100,2,0,99
3,207,2,97,2,0,365
2,61,1,225,1,6,152
2,52,1,60,2,23,33
3,35,1,225,3,2,33
2,21,2,45,1,8,6
3,62,2,83,2,6,77
4,118,2,43,1,33,282
1,1,2,142,1,36,57
2,215,1,190,6,4,59
3,192,2,100,1,2,359
2,29,2,65,5,2,139
2,82,1,85,1,3,6
3,96,3,75,1,29,225
3,65,1,145,3,7,4
3,203,1,180,2,6,7
2,14,2,80,3,2,5
2,191,2,185,1,0,175
2,215,1,118,3,3,249
3,95,2,70,5,0,364
2,215,2,150,2,0,36
2,29,2,80,1,0,341
2,14,1,111,6,2,43
3,35,2,159,1,0,359
2,215,2,169,3,7,72
1,135,1,100,3,4,330
2,52,1,120,3,3,89
2,215,2,80,4,2,66
4,221,1,179,1,4,75
2,215,1,199,2,20,61
3,96,1,172,2,5,4
2,81,1,175,4,27,11
3,120,1,200,5,2,78
3,210,1,170,3,9,169
2,215,2,70,4,1,156
4,12,2,69,5,11,128
2,14,2,70,2,5,272
2,24,2,129,3,0,365
2,176,3,40,5,12,301
2,183,1,130,4,2,179
3,120,1,165,3,0,71
2,29,2,45,3,4,276
2,92,2,130,1,0,360
3,210,1,250,3,3,328
3,120,2,100,1,0,358
2,215,2,80,2,2,42
4,55,2,65,4,16,23
2,92,2,95,2,1,67
2,52,1,250,2,10,365
3,74,2,256,2,16,329
2,81,1,119,3,2,5
2,215,2,90,5,18,37
3,35,1,250,2,24,42
2,159,1,220,2,9,85
2,61,2,43,3,3,58
4,190,2,108,3,36,356
3,203,2,111,2,8,344
4,69,2,69,1,20,65
3,74,1,256,2,4,293
3,202,2,132,1,14,326
2,61,2,100,3,1,305
4,5,2,100,3,4,364
3,95,2,135,3,6,247
2,18,1,113,3,13,118
3,96,1,244,3,0,167
4,85,1,190,3,15,36
3,95,2,65,4,4,188
2,14,2,57,1,6,164
4,118,1,250,3,1,353
4,5,2,70,3,2,23
2,14,1,163,2,33,255
3,35,1,199,3,35,69
2,81,1,210,4,20,268
3,95,2,35,2,0,124
1,97,2,22,3,14,42
2,29,1,127,3,9,34
4,78,2,56,1,19,45
3,65,2,130,2,0,177
2,215,1,200,3,3,35
3,95,1,175,4,29,7
2,215,1,200,3,19,4
3,74,1,248,2,7,294
2,29,2,45,1,24,167
4,169,1,89,1,0,175
3,96,1,250,2,26,60
1,79,1,100,2,2,26
3,95,2,150,2,0,6
3,202,2,90,2,12,2
2,215,2,125,3,1,2
2,92,1,159,3,32,56
2,215,2,99,2,0,159
3,207,2,80,1,3,314
2,109,1,85,2,3,351
2,215,2,90,2,2,193
2,14,1,200,1,1,344
4,106,2,130,1,4,365
3,95,1,180,2,18,29
2,29,3,50,1,5,365
2,18,2,70,2,15,236
2,14,2,130,2,16,262
3,207,2,50,3,18,298
1,156,1,100,1,25,39
2,92,1,175,4,35,69
3,120,2,99,2,22,365
3,65,1,180,3,2,291
3,210,1,175,3,18,175
2,92,2,109,6,0,54
2,215,1,199,5,0,213
4,164,2,60,2,12,19
2,29,2,49,3,1,158
3,65,1,158,3,10,323
2,75,1,125,2,31,24
2,191,2,54,1,18,241
3,207,2,40,2,3,276
3,7,1,199,1,0,43
3,203,2,90,3,2,339
5,196,1,275,4,29,313
4,161,2,55,2,7,155
2,32,2,80,2,27,144
2,160,2,55,1,32,7
3,145,1,175,2,25,273
4,55,1,200,4,0,117
3,104,2,39,1,13,233
4,5,2,55,1,11,319
3,65,2,149,4,25,156
3,95,2,135,2,33,75
4,124,1,196,2,21,202
4,161,1,45,3,27,304
5,195,1,161,1,24,87
2,152,1,145,6,0,14
2,29,1,100,2,1,99
3,95,2,140,1,0,365
3,202,2,80,5,9,118
2,14,2,50,1,1,51
3,128,1,120,1,8,267
3,202,1,217,3,2,235
3,65,1,167,5,13,91
3,202,2,135,1,11,330
2,92,1,130,4,9,188
2,215,2,135,4,11,5
3,95,1,100,3,6,8
3,116,1,139,3,2,10
4,12,2,100,1,0,358
3,202,1,165,1,1,5
2,215,2,55,1,0,2
3,95,1,90,6,3,108
3,93,2,150,3,30,20
2,32,1,185,2,25,17
2,42,2,45,3,1,189
3,207,2,48,1,7,176
3,74,1,248,2,9,284
2,61,2,118,2,2,45
3,95,1,225,3,0,170
2,215,2,65,1,2,272
4,5,1,250,5,0,22
3,95,2,45,1,14,128
2,29,1,100,4,0,5
3,95,2,95,2,32,163
3,96,1,165,5,10,31
4,221,2,46,1,2,96
2,14,2,79,3,1,83
1,17,2,29,3,9,322
2,109,2,70,1,34,1
2,31,2,65,1,2,365
3,65,2,65,2,13,157
4,218,2,55,4,10,360
3,113,3,39,2,0,324
4,105,2,50,3,1,155
4,218,2,69,3,28,359
4,190,1,200,5,19,155
2,29,1,249,6,4,177
4,118,1,225,1,6,358
2,61,1,100,2,36,56
2,29,2,150,1,1,88
2,8,3,225,3,1,87
5,91,1,51,4,29,15
2,14,1,100,3,3,120
3,65,2,72,3,0,170
4,221,2,90,1,2,173
2,81,1,198,2,2,11
2,159,1,200,4,5,21
4,184,2,50,1,29,347
4,5,2,90,2,5,354
3,202,3,80,1,1,170
3,35,1,180,1,1,210
4,164,2,65,2,28,38
3,203,2,150,1,0,365
4,165,2,53,1,12,180
3,95,1,175,2,1,14
2,14,1,100,3,33,166
4,124,1,64,3,7,333
3,203,2,61,1,1,35
5,188,2,55,1,13,362
4,69,2,45,1,0,172
2,21,3,35,1,0,365
3,95,2,80,2,9,72
2,14,2,69,3,13,333
3,93,2,115,3,20,15
3,74,1,203,2,1,322
2,152,2,120,2,12,89
2,160,1,99,2,26,272
2,215,1,153,3,17,31
4,5,2,70,1,3,188
2,14,1,225,3,12,72
3,128,2,191,2,5,217
4,106,2,39,2,0,54
3,95,1,125,3,8,1
3,198,1,215,2,23,187
4,186,2,59,1,14,359
2,18,2,45,1,13,324
3,96,3,70,1,0,15
3,128,2,70,1,1,90
3,207,1,96,4,0,17
3,120,2,86,1,7,115
4,106,2,75,1,0,364
2,75,2,80,2,0,88
3,96,1,15,2,0,139
2,29,2,30,3,0,100
3,96,1,219,3,12,59
3,35,2,155,5,18,90
2,52,1,120,5,4,10
4,80,2,99,1,26,284
2,52,2,40,2,10,22
2,191,2,60,1,20,162
4,169,2,113,2,36,365
3,203,1,191,1,2,10
2,52,2,50,3,26,158
3,207,1,100,2,15,48
1,49,2,85,1,0,365
4,221,2,53,2,33,157
1,154,1,125,1,15,336
1,135,2,79,2,2,88
3,95,1,149,5,17,3
4,5,2,80,3,22,188
3,74,1,196,2,9,318
2,75,1,125,2,3,1
2,92,1,117,2,3,15
2,32,2,98,2,21,73
2,14,2,80,2,3,83
4,69,1,150,3,7,261
3,74,1,256,2,9,277
2,215,2,90,2,5,310
4,5,2,69,5,20,37
2,14,2,110,1,2,342
3,202,1,100,1,1,134
3,96,1,135,1,1,9
2,29,2,38,1,33,1
3,128,2,100,1,0,290
2,29,1,150,2,0,331
2,29,2,60,2,17,2
2,215,2,100,2,32,74
2,14,2,55,2,13,330
4,106,2,40,1,1,88
3,35,2,159,1,0,362
5,173,1,75,3,21,59
3,210,1,150,4,1,6
2,215,2,70,2,20,345
2,14,2,40,1,23,365
3,120,2,100,3,19,303
2,215,1,220,2,25,5
3,62,1,125,3,2,249
1,1,1,90,5,1,157
4,60,2,49,1,6,55
4,5,1,120,3,11,6
3,65,1,180,1,0,188
2,183,2,60,1,18,308
3,35,1,220,3,2,54
2,14,1,140,5,0,168
3,62,2,56,1,20,129
3,128,2,65,3,3,359
